Age_[ka],Sea_level_[m]
0.00,-10.86
1.31,-8.46
2.84,5.14
3.57,-4.46
4.31,8.34
5.45,-2.06
6.13,-1.26
6.77,6.74
7.71,-14.86
8.90,-14.86
9.48,-11.66
10.03,-12.46
10.55,-6.86
10.98,-8.46
11.50,-6.86
11.88,-38.06
12.26,-25.26
12.60,-39.66
12.92,-3.66
13.24,-48.46
13.54,-18.03
13.84,-15.63
14.13,-17.23
14.43,-56.43
14.73,-34.03
15.02,-46.03
15.31,-38.83
15.59,-61.23
15.88,-84.43
16.16,-77.23
16.54,-93.23
16.83,-98.83
17.11,-99.63
17.39,-92.43
17.67,-89.23
17.95,-123.63
18.23,-122.03
18.50,-112.43
18.76,-105.23
19.03,-118.03
19.26,-116.43
19.53,-106.03
19.77,-104.43
20.00,-95.63
20.24,-115.63
20.47,-117.23
20.84,-102.83
21.13,-102.03
21.34,-111.63
21.55,-114.03
21.76,-97.23
21.96,-110.03
22.17,-105.23
22.37,-106.03
22.57,-97.23
22.77,-97.23
22.97,-102.83
23.17,-102.83
23.37,-104.43
23.57,-100.43
23.77,-100.43
23.97,-115.63
24.17,-102.83
24.37,-103.63
24.58,-101.23
24.79,-95.63
25.00,-102.83
25.22,-110.03
25.45,-98.83
25.67,-88.43
25.90,-99.63
26.14,-110.83
26.37,-99.63
26.62,-92.43
26.88,-86.83
27.13,-90.83
27.40,-90.83
27.68,-95.63
27.95,-86.83
28.25,-93.23
28.55,-84.43
28.85,-75.63
29.17,-70.03
29.48,-68.43
29.81,-81.23
30.14,-77.23
30.47,-79.63
30.81,-76.43
31.16,-54.03
31.51,-70.83
31.86,-67.63
32.22,-73.23
32.57,-70.83
32.94,-78.03
33.29,-76.43
33.67,-75.63
34.05,-68.43
34.45,-74.03
34.80,-77.23
35.18,-85.23
35.56,-70.03
35.94,-84.43
36.33,-67.63
37.11,-70.03
37.50,-66.03
37.89,-65.23
38.29,-58.83
38.68,-73.23
39.08,-65.23
39.48,-78.03
39.88,-76.43
40.28,-82.83
41.09,-63.63
41.49,-68.43
41.90,-68.43
42.31,-72.43
42.71,-75.63
43.53,-73.23
46.01,-67.63
46.43,-68.43
46.85,-78.83
47.68,-53.23
48.10,-49.23
48.52,-54.83
48.94,-46.83
